CURR_STD_YM,GRAD_STATUS,GRAD_MOVEMENT,CURR_GRAD_GB,CURR_NLINE_MEM_GRAD_CD,CURR_NLINE_MEM_GRAD_NM,PREV_GRAD_GB,PREV_NLINE_MEM_GRAD_CD,PREV_NLINE_MEM_GRAD_NM,CUST_CNT,MAU,DAU
202504,이탈,하락,VIP,GD,Gold,일반,RD,Red,7,2,1
202504,이탈,하락,VIP,SP,S-Platinum,일반,RD,Red,1,1,1
202504,이탈,하락,VIP,SV,Silver,VIP,BK,Black,1961,1404,581
202504,이탈,하락,VIP,SV,Silver,일반,PP,Purple,225,120,36
202504,이탈,하락,VIP,SV,Silver,일반,RD,Red,78,28,6
202504,이탈,하락,일반,PP,Purple,일반,RD,Red,14815,7793,1988
202505,이탈,승급,VIP,BK,Black,VIP,GD,Gold,21,15,6
202505,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1747,1353,606
202505,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,620,441,223
202505,이탈,승급,일반,PP,Purple,VIP,BK,Black,3800,3043,1198
202505,이탈,승급,일반,PP,Purple,VIP,GD,Gold,6,5,1
202505,이탈,승급,일반,PP,Purple,VIP,SV,Silver,102,61,18
202505,이탈,승급,일반,RD,Red,VIP,BK,Black,590,284,56
202505,이탈,승급,일반,RD,Red,VIP,GD,Gold,7,3,1
202505,이탈,승급,일반,RD,Red,VIP,SV,Silver,60,21,5
202505,이탈,승급,일반,RD,Red,일반,PP,Purple,12029,8091,2210
202505,이탈,하락,VIP,BK,Black,일반,PP,Purple,4385,3283,1211
202505,이탈,하락,VIP,BK,Black,일반,RD,Red,850,288,54
202505,이탈,하락,VIP,GD,Gold,VIP,BK,Black,33,19,7
202505,이탈,하락,VIP,GD,Gold,VIP,SV,Silver,806,574,257
202505,이탈,하락,VIP,GD,Gold,일반,PP,Purple,4,3,1
202505,이탈,하락,VIP,GD,Gold,일반,RD,Red,5,4,1
202505,이탈,하락,VIP,PT,Platinum,일반,RD,Red,1,0,
202505,이탈,하락,VIP,SP,S-Platinum,일반,RD,Red,2,2,2
202505,이탈,하락,VIP,SV,Silver,VIP,BK,Black,2008,1464,608
202505,이탈,하락,VIP,SV,Silver,일반,PP,Purple,183,98,28
202505,이탈,하락,VIP,SV,Silver,일반,RD,Red,81,36,5
202505,이탈,하락,일반,PP,Purple,일반,RD,Red,14511,8049,2008
202506,이탈,승급,VIP,BK,Black,VIP,GD,Gold,14,9,4
202506,이탈,승급,VIP,BK,Black,VIP,SV,Silver,1672,1303,609
202506,이탈,승급,VIP,SV,Silver,VIP,GD,Gold,632,450,227
202506,이탈,승급,일반,PP,Purple,VIP,BK,Black,3825,3024,1226
202506,이탈,승급,일반,PP,Purple,VIP,GD,Gold,6,5,2
202506,이탈,승급,일반,PP,Purple,VIP,SV,Silver,108,73,20
202506,이탈,승급,일반,RD,Red,VIP,BK,Black,575,269,62
202506,이탈,승급,일반,RD,Red,VIP,GD,Gold,6,3,1
